Newton_method Runge_Kutta Analytical_solution
0 0 0
0.0001 0.0001 0.0001
0.0002 0.0002 0.0002
0.0003 0.0003 0.0003
0.0004 0.0004 0.0004
0.0005 0.0005 0.0005
0.0006 0.0006 0.0006
0.0007 0.0007 0.0007
0.0008 0.0008 0.0008
0.0009 0.0009 0.0009
0.001 0.001 0.001
0.0011 0.0011 0.0011
0.0012 0.0012 0.0012
0.0013 0.0013 0.0013
0.0014 0.0014 0.0014
0.0015 0.0015 0.0015
0.0016 0.0016 0.0016
0.0017 0.0017 0.0017
0.0018 0.0018 0.0018
0.0019 0.0019 0.0019
0.002 0.002 0.002
0.0021 0.0021 0.0021
0.0022 0.0022 0.0022
0.0023 0.0023 0.0023
0.0024 0.0024 0.0024
0.0025 0.00250001 0.00250001
0.00260001 0.00260001 0.00260001
0.00270001 0.00270001 0.00270001
0.00280001 0.00280001 0.00280001
0.00290001 0.00290001 0.00290001
0.00300001 0.00300001 0.00300001
0.00310001 0.00310001 0.00310001
0.00320001 0.00320001 0.00320001
0.00330001 0.00330001 0.00330001
0.00340001 0.00340001 0.00340001
0.00350001 0.00350001 0.00350001
0.00360001 0.00360002 0.00360002
0.00370002 0.00370002 0.00370002
0.00380002 0.00380002 0.00380002
0.00390002 0.00390002 0.00390002
0.00400002 0.00400002 0.00400002
0.00410002 0.00410002 0.00410002
0.00420002 0.00420002 0.00420002
0.00430003 0.00430003 0.00430003
0.00440003 0.00440003 0.00440003
0.00450003 0.00450003 0.00450003
0.00460003 0.00460003 0.00460003
0.00470003 0.00470003 0.00470003
0.00480004 0.00480004 0.00480004
0.00490004 0.00490004 0.00490004
0.00500004 0.00500004 0.00500004
0.00510004 0.00510004 0.00510004
0.00520005 0.00520005 0.00520005
0.00530005 0.00530005 0.00530005
0.00540005 0.00540005 0.00540005
0.00550005 0.00550006 0.00550006
0.00560006 0.00560006 0.00560006
0.00570006 0.00570006 0.00570006
0.00580006 0.00580007 0.00580007
0.00590007 0.00590007 0.00590007
0.00600007 0.00600007 0.00600007
0.00610007 0.00610008 0.00610008
0.00620008 0.00620008 0.00620008
0.00630008 0.00630008 0.00630008
0.00640009 0.00640009 0.00640009
0.00650009 0.00650009 0.00650009
0.00660009 0.0066001 0.0066001
0.0067001 0.0067001 0.0067001
0.0068001 0.0068001 0.0068001
0.00690011 0.00690011 0.00690011
0.00700011 0.00700011 0.00700011
0.00710012 0.00710012 0.00710012
0.00720012 0.00720012 0.00720012
0.00730013 0.00730013 0.00730013
0.00740013 0.00740014 0.00740014
0.00750014 0.00750014 0.00750014
0.00760014 0.00760015 0.00760015
0.00770015 0.00770015 0.00770015
0.00780016 0.00780016 0.00780016
0.00790016 0.00790016 0.00790016
0.00800017 0.00800017 0.00800017
0.00810017 0.00810018 0.00810018
0.00820018 0.00820018 0.00820018
0.00830019 0.00830019 0.00830019
0.00840019 0.0084002 0.0084002
0.0085002 0.0085002 0.0085002
0.00860021 0.00860021 0.00860021
0.00870022 0.00870022 0.00870022
